Date,User,Message
2020-06-01 16:51:21,"스코","ㅋㅋㅋㅋㅋㅋ"
2020-06-01 16:51:28,"승모","맞나"
2020-06-01 16:51:30,"스코","그정도로도 짭짤하게 할 수 있다"
2020-06-01 16:51:31,"스코","ㅋㅋ"
2020-06-01 16:51:32,"승모","다들 잔챙이들이었네"
2020-06-01 16:51:32,"승모","ㅋㅋㅋㅋㅋ"
2020-06-01 16:51:47,"스코","하룻강아지 범한테 먹히는 수가 있지.."
2020-06-01 16:51:48,"스코","ㅋㅋㅋ"
2020-06-01 16:51:54,"스코","많이하면 안됨.."
2020-06-01 16:52:13,"스코","보고 LG화학 싸다싶을 때 들어가면 좋을 듯!"
2020-06-01 16:52:26,"승모","지금은 겁나 비싼거 아이가"
2020-06-01 16:52:44,"승모","LG화학 쳐보니까 지금 최고가인듯"
2020-06-01 16:52:52,"스코","ㅇㅇ"
2020-06-01 16:52:57,"스코","테슬라 때문에 날라가고 있는데"
2020-06-01 16:53:10,"스코","그래프상으로 낮다싶을 때 들어가면 좋을 듯"
2020-06-01 16:53:13,"스코","넘 많이 들가지는 말고"
2020-06-01 16:53:26,"스코","나는 한주당 백만원단위로만함ㅋㅋ"
2020-06-01 16:53:37,"승모","와 근데 코로나때매 엄청 떨어지드만"
2020-06-01 16:53:48,"스코","우리나라는 빨리회복했잖아"
2020-06-01 16:53:49,"승모","이제는 다 올라서 "
2020-06-01 16:53:54,"강강강","난 ETF"
2020-06-01 16:53:58,"스코","그래도 바이오같은거는 한 번씩 날아감"
2020-06-01 16:54:04,"스코","그냥 타이밍만 잘 잡으면 된다"
2020-06-01 16:54:05,"강강강","KODEX 코스닥 150 레버리지 삼"
2020-06-01 16:54:07,"스코","아아"
2020-06-01 16:54:15,"강강강","코스닥은 망할일은 없을테니"
2020-06-01 16:54:16,"스코","그거 오늘 6프로 떳든뎅"
2020-06-01 16:54:17,"스코","ㅋㅋㅋㅋ"
2020-06-01 16:54:18,"스코","ㅇㅇ"
2020-06-01 16:54:22,"스코","좋은 전략인듯!"
2020-06-01 16:54:22,"승모","레버리지"
2020-06-01 16:54:30,"승모","내 옆에 직원은"
2020-06-01 16:54:34,"승모","리버스 레버리지 하던데"
2020-06-01 16:54:39,"스코","인버스?"
